,0
0,"Поздравляю с днем рождения! Пусть жизнь дарит тебе побольше ярких моментов и сбудутся все твои самые смелые и заветные желания! Желаю, чтобы в твоем доме всегда царили счастье и понимание. И пусть тебя окружают только искренние, верные, надежные друзья и добрые люди!"
1,"С днем рождения! Желаю крепкого здоровья, удачи, благополучия, добра, радости, любви, счастья, хорошего настроения, улыбок, ярких впечатлений. Пусть тепло и уют всегда наполняют твой дом, пусть солнечный свет согревает в любую погоду, а желания исполняются при одной мысли о них."
2,"С днем рождения! Пусть каждый день приносит радость, улыбки и подарки, пусть все мечты исполняются, а планы реализуются, пусть окружают только искренние люди, преданные друзья, и пусть не будет места для уныния и печалей!"
3,"Прими мои поздравления с днем рождения! В твой лучший день хочу пожелать самого лучшего, чтобы в жизни было как можно больше хороших эмоций, приятных моментов и постоянного круговорота позитивных событий. Чтобы окружали только любимые, родные, дорогие сердцу люди. Чтобы во всем сопутствовал успех и везение. Ты этого заслуживаешь!"
4,"Поздравляю с днем рождения! Желаю безмерного счастья, крепкого здоровья, настоящей любви, удачи, достатка, исполнения желаний! Пусть жизнь будет наполнена положительными эмоциями, верными друзьями, радостными днями. Ярких, светлых, счастливых тебе событий!"
5,"Поздравляю с днем рождения! Кроме стандартных пожеланий — счастья, здоровья и всего наилучшего — я желаю, чтобы сбывались все мечты, чтобы каждый день приносил много приятных неожиданностей, чтобы Вас окружали только добрые и нужные люди. А еще везения. Везения во всём и всегда. И чтобы каждое начатое дело заканчивалось успешно!"
6,"Поздравляю с днем рождения! Желаю прекрасной жизни, и пусть на каждом ее повороте всегда встречаются замечательные события. Желаю массу поводов для радости и здоровья крепкого! Пусть каждое утро будет счастливым и солнечным."
7,"Поздравляю с днем рождения! Удачи тебе во всех начинаниях, исполнения желаний, всегда светлого и хорошего настроения, веры в себя и продвижения к своим целям. А еще прекрасного здоровья, больше улыбок и в праздники, и в будни, и пусть каждый день будет наполнен счастьем и теплом."
8,"С днем рождения! Ты прекрасный человек, и я от всей души желаю тебе как можно больше счастливых моментов, море любви, безграничного здоровья тебе и твоим родным и только любящих и надежных людей рядом! Пусть гармония и удача станут твоими повседневными спутниками, и все всегда получается легко и непринужденно!"
9,"Поздравляю с днем рождения! Пусть все мечты сбываются, желания исполняются, цели достигаются, здоровье улучшается и деньги прибавляются! Счастья, радости и душевной гармонии, блистательных удач, незабываемых впечатлений и головокружительных успехов, настоящей любви, верных друзей и яркой радуги эмоций!"
10,"Поздравляем с днем рождения! Желаем здоровья, удачи, любви, везения, мира, добра, улыбок, благополучия. Пусть все мечты исполняются. Пусть жизнь будет долгой и гладкой, полной ярких и запоминающихся событий!"
11,"Поздравляю с днем рождения! Яркого позитивного настроения, высоких достижений, душевной гармонии, процветания, крепкого здоровья, успехов во всём! Желаю никогда не останавливаться на достигнутом. Удачи в познании новых идей, саморазвития и стремления только к самому лучшему!"
12,"Поздравляю с днем рождения! Желаю, чтобы вся жизнь была полна радости, счастья, здоровья, улыбок, любви и приятных сюрпризов. Пусть удача станет неотъемлемым спутником, а во всех начинаниях всегда сопутствует только успех. Больше силы, чувств и смелости, чтобы сбывались даже самые необычные желания!"
13,"Желаю самого главного в жизни — здоровья. Пусть в семье тебя любят и ценят, пусть в работе будет востребованность и полная самореализация, пусть в сердце живёт счастье и радость. С днем рожденья!"
14,"Поздравляю с днем рождения! Пусть счастье сопровождает вас на каждом шагу, здоровье оберегает при любых обстоятельствах, удача и везение станут вашими надежными спутниками по жизни. Желаю вдохновения во всём, позитивного настроения и исполнения всех планов."
15,"Поздравляю тебя с днём рождения! Желаю не болеть, не грустить, много улыбаться, сиять от счастья, с годами только хорошеть, верить в лучшее и в мечту, которая, несомненно, сбудется. Пусть удача будет твоим путеводителем, перед тобой открываются золотые горы благополучия и сладких грёз. Волшебные моменты пусть озаряют твой взгляд, любовь всегда будет рядом и доставляет тебе только удовольствие!"
16,"С днем рождения! Желаю добра, света, мира, улыбок, отличного настроения. Пусть всё плохое обходит стороной, жизненные невзгоды преодолеваются с легкостью, а каждый день будет наполнен радостью и счастьем. И конечно, светлой веры, огромной надежды, бесконечной любви."
17,"Поздравляю с Днём рождения! Желаю тебе хорошего настроения, огромного счастья, бесконечной любви, достатка в семье, карьерного роста, хороших друзей и, конечно же, здоровья тебе и всем, кто тебе дорог. Пусть мечты никогда не покидают тебя и превращаются в реальность."
18,"Поздравляю с днем рождения! Очень много теплых слов хочется сегодня тебе сказать. Я желаю, чтобы твои мечты всегда сбывались, чтобы радостные, приятные моменты присутствовали в твоей жизни каждый день, чтобы друзья были только надежные, готовые всегда помочь или разделить радость. Пусть настроение будет отличным, и этот день будет ярким и незабываемым! И пусть удача сопутствует во всех твоих начинаниях!"
19,"Поздравляю тебя с днем рождения! Желаю тебе здоровья, счастья и любви, пусть тебе всегда сопутствует удача и успех. Иди по жизни прямо и смело, пусть рядом будут те, с кем хочется поделиться радостью. Пусть не будет неразрешимых проблем, а рядом будут те, кто готов всегда прийти на помощь. Желаю наконец-то принять верное для себя решение, найти нормальную партию и жить в кайф, пусть сбудутся все мечты и жизнь наполнится смыслом, радостью и любовью. В общем, если коротко, то любви тебе, работу нормальную, чтоб жизнь, как в сказке, а не только сказки в жизни. Всего тебе самого наилучшего! Ура!"
20,"Поздравляю с днём рождения тебя! Желаю прекрасной и удивительной жизни, океан безумной любви, бесконечно счастливого времени, только крепкого здоровья и отличного настроения!"
21,"С днем рождения! Пусть жизнь будет беспрерывным потоком счастливых дней и прекрасных мгновений. Желаю назад оглядываться только лишь с хорошими воспоминаниями, вперёд смотреть с уверенностью в собственных силах и доброй надеждой, а в настоящем всегда оставаться замечательным человеком с любящим сердцем и открытой душой!"
22,"Поздравляю с днем рождения! Кроме крепкого здоровья и благополучия в доме, желаю всегда быть в гармонии с собой. Пусть задуманное всегда сбывается, а жизнь будет наполнена только яркими и солнечными днями. Запасайся очками, попкорном и наслаждайся жизнью."
23,"Поздравляю с днем рождения! Желаю, чтобы твоя жизнь была яркой и восхитительной, любимые дарили внимание, радость, тепло и ласку, друзья окружали искренним пониманием и поддержкой, коллеги уважали и дорожили. Пусть всё, что казалось несбыточным, сбудется, и самое желанное пусть произойдет!"
24,"С днем рождения! Желаю побольше ярких и счастливых моментов в жизни. Пусть каждый день будет наполнен радостью, весельем и легкостью. Желаю домашнего уюта, благополучия в семье, стабильности в бизнесе. Желаю, чтобы фортуна стала лучшим другом. Новых побед, душевных встреч и достижений."
25,"От всей души прими мои самые искренние поздравления с днем рождения! Я желаю тебе крепкого здоровья, финансовой стабильности, гармонии во всем, любви во всех ее проявлениях, мирного неба над головой. Пусть по жизни сопутствует удача и успех, тебя окружают близкие по духу люди, а каждый твой день сияет новыми радужными красками!"
26,"Сегодня, в твой день рождения, хочется пожелать тебе самого лучшего, самого важного, самого главного. Самое лучшее окружение, их поддержка и понимание. Самое важное — здоровье. И самое главное — финансовое благополучие и независимость. Чтобы все мечты сбывались и все двери были открыты!"
27,"С днем рожденья поздравляю, желаю всего самого наилучшего, вдохновения и упорства на достижение всех целей и пусть все мечты сбываются, рамок нет."
28,"Поздравлю с днем рождения! Желаю тебе всегда радоваться тому, что уже есть, но и не забывать о новых вершинах и всегда их успешно покорять. Пусть все близкие будут рядом, семья станет для тебя надежным тылом, и счастье не покинет ваш дом. Здоровья тебе и оптимизма, а остальное все приложится!"
29,"С днем рождения! Пусть каждый новый день начинается с улыбки, прилива сил и желания свернуть горы! Пусть крепкое здоровье будет неизменным спутником, а удача поджидает за каждым углом! Не переставайте мечтать, и пусть всегда чудесным образом находятся возможности для осуществления самых безумных желаний!"
30,"Поздравляю тебя с этим чудесным праздником — с днем рождения! Желаю каждый день улыбаться, просыпаться с хорошим настроением, наслаждаться жизнью и с полной уверенностью в себе, бежать навстречу заветным мечтам!"
31,"Поздравляю с Днем рождения! Желаю исполнения самых невероятных и головокружительных желаний, ярких и незабываемых впечатлений, успехов во всех твоих начинаниях. Пусть дни будут солнечными и яркими, наполненными улыбками и счастьем. В общем, позитива во всем!"
32,"Поздравляем от души с днем рождения! Желаем много любви и счастья, чтобы судьба чаще дарила приятные сюрпризы. Пусть жизнь будет интересной и насыщенной, пусть всегда хватает сил для достижения желаемых высот!"
33,"С днем рождения! Поздравлять хороших людей всегда приятно, а такого замечательного человека, как ты, — приятно вдвойне. Я искренне желаю, чтобы у тебя всегда было достаточно: улыбок, солнечных дней, удачных ситуаций, успеха, восхищений, любви, поздравлений, поддержки, верных друзей, гениальных идей, интересных затей, только важных людей, денег, чувств и эмоций, силы, смелости... Но, главное, чтобы в нужную минуту у тебя всегда было бы то, что тебе нужно."
34,"Чудесный, солнечный человечек, я поздравляю тебя с днём рождения! Пусть в любой день и в любую погоду у тебя всё будет замечательно, пусть всегда буду те, кому можно подарить свои крепкие объятия, пусть всегда будут те, кто наполнит твою жизнь светом счастья!"
35,"С днем рождения! Пусть твой дом наполняет счастье и тепло, твою душу — гармония и спокойствие. В сердце пускай живет любовь, в мыслях — позитив. Пусть судьба преподносит яркие подарки и радостные события, а в жизни всегда будет хорошая погода!"
36,"Поздравляю с днем рождения! В этот прекрасный светлый день хочу пожелать, чтобы в сердце всегда жили любовь, тепло и нежность, чтоб разум наполняли только хорошие мысли и идеи, чтоб в теле всегда присутствовало здоровье, а на лице ― улыбка. Пусть каждый день будет в радость, вместе с приятными и любимыми сердцу людьми!"
37,"Поздравляю с днем рождения! Желаю здоровья, любви близких людей, солнечного настроения и много ярких впечатлений и удивительных открытий в жизни. Пусть этот праздник будет наполнен улыбками друзей, подарками и хорошим настроением. А счастливых моментов в жизни будет очень много!"
